LAMMPS (22 Jul 2025 - Update 3)
Reading data file ...
  orthogonal box = (0 0 0) to (40 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  read_data CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.9059763
  ghost atom cutoff = 7.9059763
  binsize = 3.9529882, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cubic, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0001
Per MPI rank memory allocation (min/avg/max) = 3.08 | 3.08 | 3.08 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   400           -0.77447784     0              25.025847      144.74418    
       200   401.09484     -0.84509607     0              25.025847      150.90344    
       400   404.24002     -1.0479626      0              25.025847      161.3814     
       600   408.79803     -1.3419579      0              25.025847      165.91837    
       800   414.26399     -1.6945168      0              25.025847      167.19938    
      1000   420.36297     -2.087906       0              25.025847      168.53994    
      1200   426.91056     -2.5102313      0              25.025847      171.0905     
      1400   433.74414     -2.9510024      0              25.025847      175.83498    
      1600   440.62712     -3.3949603      0              25.025847      184.13322    
      1800   446.99919     -3.805964       0              25.025847      199.58935    
      2000   451.66336     -4.1068074      0              25.025846      230.30232    
      2200   452.84683     -4.1831421      0              25.025846      287.46312    
      2400   448.7132      -3.9165201      0              25.025846      381.44454    
      2600   438.83294     -3.2792349      0              25.025846      511.77989    
      2800   430.56284     -2.7458058      0              25.025847      629.75821    
      3000   430.31947     -2.7301096      0              25.025846      693.45788    
      3200   432.48476     -2.8697725      0              25.025846      735.26733    
      3400   433.38547     -2.9278687      0              25.025846      778.35252    
      3600   434.01402     -2.9684109      0              25.025846      817.79683    
      3800   433.36297     -2.9264177      0              25.025846      859.53268    
      4000   431.46817     -2.8042016      0              25.025846      901.78223    
      4200   431.72886     -2.8210157      0              25.025846      922.78515    
      4400   436.81729     -3.149224       0              25.025846      906.17507    
      4600   444.8379      -3.6665601      0              25.025846      864.82158    
      4800   452.53056     -4.1627431      0              25.025846      820.59919    
      5000   457.67511     -4.4945704      0              25.025846      788.93414    
      5200   459.36425     -4.6035218      0              25.025846      777.26075    
      5400   458.05949     -4.5193629      0              25.025846      783.44284    
      5600   458.21243     -4.5292277      0              25.025846      780.74868    
      5800   461.42345     -4.7363416      0              25.025846      759.90252    
      6000   463.61355     -4.8776045      0              25.025846      743.43493    
      6200   466.4807      -5.0625382      0              25.025846      722.37405    
      6400   469.74506     -5.2730917      0              25.025846      698.36815    
      6600   473.54817     -5.5183958      0              25.025846      671.74345    
      6800   475.71005     -5.6578385      0              25.025846      656.49253    
      7000   474.7031      -5.5928894      0              25.025846      662.96282    
      7200   470.54018     -5.3243781      0              25.025846      690.89286    
      7400   464.72897     -4.9495496      0              25.025846      729.86445    
      7600   460.93758     -4.7050021      0              25.025846      755.95755    
      7800   460.18922     -4.656732       0              25.025846      761.32056    
      8000   461.35805     -4.7321229      0              25.025846      752.83308    
      8200   463.5335      -4.872441       0              25.025846      737.73558    
      8400   465.52196     -5.0006982      0              25.025846      723.52785    
      8600   467.38014     -5.1205528      0              25.025846      710.65389    
      8800   469.00304     -5.2252311      0              25.025846      699.13868    
      9000   470.18255     -5.3013101      0              25.025846      690.50152    
      9200   470.68685     -5.3338382      0              25.025846      686.7468     
      9400   469.95464     -5.2866097      0              25.025846      691.18504    
      9600   468.96806     -5.2229741      0              25.025846      697.08309    
      9800   469.53272     -5.2593957      0              25.025846      693.83451    
     10000   469.89479     -5.2827494      0              25.025846      691.42537    
     10200   470.64704     -5.3312706      0              25.025846      687.7513     
     10400   470.98922     -5.3533416      0              25.025846      688.2383     
     10600   468.44161     -5.1890183      0              25.025846      706.83794    
     10800   465.97515     -5.0299296      0              25.025846      725.30669    
