[1777822086.338481] [cn13:716888:0]          parser.c:1906 UCX  WARN  unused env variable: UCX_ROOT (set UCX_WARN_UNUSED_ENV_VARS=n to suppress this warning)
LAMMPS (23 Jun 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0 -0 -0) to (200 200 200)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  923 atoms
  read_data CPU = 0.028 seconds
Reading eam/alloy potential file CuAgAu_Zhou04.eam.alloy with DATE: 2018-03-30
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.4662927
  ghost atom cutoff = 8.4662927
  binsize = 4.2331463, bins = 48 48 48
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 4.708 | 4.708 | 4.709 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   600           -2375.1558      0             -2303.649      -109.19581    
       200   541.86478     -2546.8247      0             -2482.2464      3.0198909    
       400   326.81422     -2601.6306      0             -2562.6815      6.5354381    
       600   744.66639     -2569.8428      0             -2481.0951      2.6984548    
       800   684.2557      -2554.2257      0             -2472.6775     -29.44029     
      1000   484.74063     -2604.7006      0             -2546.9302      21.99583     
      1200   538.57224     -2604.1173      0             -2539.9314     -7.1492856    
      1400   707.40505     -2573.4536      0             -2489.1465      6.3567246    
      1600   563.13495     -2598.2746      0             -2531.1614     -9.4437522    
      1800   527.55017     -2615.1988      0             -2552.3265      12.135698    
      2000   653.50072     -2600.3257      0             -2522.4429     -7.1806913    
      2200   640.03326     -2597.6942      0             -2521.4164     -1.3451501    
      2400   556.10737     -2616.4132      0             -2550.1375      3.0064753    
      2600   584.98393     -2612.5999      0             -2542.8827      1.6749616    
      2800   645.74559     -2602.355       0             -2525.3965     -0.54651418   
      3000   561.1306      -2610.4384      0             -2543.5641     -0.30756265   
      3200   569.51662     -2619.4892      0             -2551.6155      3.0096309    
      3400   616.1467      -2617.5336      0             -2544.1026     -6.1450652    
      3600   638.43823     -2616.0617      0             -2539.974       2.1999842    
      3800   580.19277     -2620.7985      0             -2551.6523     -6.539693     
      4000   592.1353      -2619.7006      0             -2549.1312      7.9724759    
      4200   620.64973     -2615.5961      0             -2541.6284     -9.5224297    
      4400   615.13516     -2619.1023      0             -2545.7918      7.9685941    
      4600   549.56912     -2620.8141      0             -2555.3177     -9.4753922    
      4800   609.46054     -2620.6104      0             -2547.9762      5.6035844    
      5000   598.45896     -2619.2015      0             -2547.8785     -8.1650311    
      5200   591.40292     -2625.9165      0             -2555.4344      3.3565798    
      5400   605.94914     -2624.6559      0             -2552.4402     -3.7546126    
      5600   629.21843     -2625.0115      0             -2550.0226      0.77871855   
      5800   584.57917     -2628.2447      0             -2558.5759     -6.5227563    
      6000   600.3947      -2630.5188      0             -2558.9651      2.3205927    
      6200   638.55001     -2629.6254      0             -2553.5244     -5.22676      
      6400   616.53539     -2628.9748      0             -2555.4974      3.2343833    
      6600   575.15228     -2629.9803      0             -2561.4348     -4.1638684    
      6800   590.27224     -2627.7286      0             -2557.3812      4.8084087    
      7000   614.26176     -2627.287       0             -2554.0806     -4.4458924    
      7200   591.83206     -2629.9423      0             -2559.409       1.6361344    
      7400   579.77969     -2628.8868      0             -2559.7899     -0.67807442   
      7600   593.94539     -2626.227       0             -2555.4418      0.13026001   
      7800   612.05048     -2630.523       0             -2557.5801     -0.33649497   
      8000   582.10747     -2632.9512      0             -2563.5768     -2.0119279    
      8200   619.26391     -2631.5467      0             -2557.7441      0.75162642   
      8400   600.93262     -2629.3053      0             -2557.6874     -7.8114916    
      8600   571.4297      -2630.35        0             -2562.2483      1.8939649    
      8800   588.69792     -2629.3724      0             -2559.2127      1.6739364    
      9000   641.13221     -2630.1144      0             -2553.7056      4.8787613    
      9200   566.03749     -2634.284       0             -2566.8249      0.74663386   
      9400   607.43667     -2635.1258      0             -2562.7328      8.9767691    
      9600   606.14        -2627.1907      0             -2554.9522     -4.3465206    
      9800   601.30313     -2635.5929      0             -2563.9309      7.5002501    
     10000   582.82941     -2642.447       0             -2572.9866     -6.0809238    
     10200   631.47153     -2632.9419      0             -2557.6845      8.1490183    
     10400   602.60904     -2629.1906      0             -2557.3729     -9.8881604    
     10600   591.08794     -2637.2906      0             -2566.846       11.738649    
     10800   586.7855      -2635.2916      0             -2565.3598     -6.2845946    
     11000   624.68236     -2631.452       0             -2557.0037      4.352038     
     11200   588.21066     -2635.8977      0             -2565.796      -2.4184035    
     11400   595.29988     -2638.4646      0             -2567.518       4.6187523    
     11600   596.56499     -2633.4364      0             -2562.339      -4.5203622    
     11800   577.77215     -2632.5773      0             -2563.7196      5.2705563    
     12000   610.34063     -2634.9091      0             -2562.17       -2.4861015    
     12200   597.40385     -2635.9889      0             -2564.7916      9.0599295    
     12400   591.26747     -2638.2286      0             -2567.7626     -4.6066959    
     12600   593.17139     -2633.8182      0             -2563.1253      7.6867573    
     12800   596.6014      -2632.75        0             -2561.6484     -5.2835445    
     13000   571.72267     -2633.0765      0             -2564.9399      10.299225    
     13200   574.12763     -2636.0039      0             -2567.5806     -7.7816142    
     13400   623.94124     -2635.7411      0             -2561.3812      2.2858139    
     13600   594.63441     -2636.3765      0             -2565.5093     -1.6317061    
     13800   612.4654      -2636.3283      0             -2563.336       6.6696662    
     14000   603.1407      -2635.2008      0             -2563.3198      0.83187563   
     14200   593.65083     -2634.6804      0             -2563.9304     -0.69079668   
     14400   579.59773     -2633.6423      0             -2564.5671     -0.46380068   
     14600   614.74915     -2640.16        0             -2566.8955      5.4111304    
     14800   607.16979     -2639.2293      0             -2566.8681     -3.9645792    
     15000   611.03612     -2636.4741      0             -2563.6521      4.1111441    
     15200   589.47544     -2635.5337      0             -2565.2813     -2.8790026    
     15400   608.13944     -2636.2902      0             -2563.8134      11.597952    
     15600   594.00014     -2637.6749      0             -2566.8832     -5.930259     
     15800   624.91992     -2640.7498      0             -2566.2731      9.6956361    
     16000   586.80937     -2635.8788      0             -2565.9441     -3.9474344    
     16200   617.91966     -2636.2987      0             -2562.6564      6.3475325    
     16400   593.03405     -2636.1773      0             -2565.5008     -6.8796246    
     16600   595.50684     -2637.4896      0             -2566.5184      5.808901     
     16800   600.23799     -2638.3596      0             -2566.8245     -7.3896888    
     17000   601.84593     -2637.0553      0             -2565.3285      0.21300472   
     17200   603.40841     -2639.8802      0             -2567.9673      3.7062266    
     17400   626.62072     -2639.8825      0             -2565.2032      1.7206828    
     17600   597.88464     -2639.833       0             -2568.5784      1.1625512    
     17800   572.90648     -2638.7827      0             -2570.505       1.6545938    
     18000   614.86207     -2637.9395      0             -2564.6615      2.1736883    
     18200   585.67397     -2638.2946      0             -2568.4953     -2.2449044    
     18400   572.10811     -2638.9335      0             -2570.7509      5.6723876    
     18600   594.09445     -2638.0126      0             -2567.2097     -0.2508017    
     18800   609.67942     -2637.2944      0             -2564.6341      2.5031894    
     19000   605.11168     -2642.3492      0             -2570.2333      0.37666188   
     19200   587.64857     -2638.544       0             -2568.5093      2.1586499    
     19400   590.5824      -2635.7802      0             -2565.3959      1.134404     
     19600   594.43105     -2641.581       0             -2570.738       2.9616117    
     19800   601.36557     -2637.1871      0             -2565.5176      3.0559507    
     20000   595.95661     -2636.2621      0             -2565.2373     -3.1906373    
     20200   599.95259     -2641.0352      0             -2569.5341      3.352448     
     20400   591.247       -2639.7338      0             -2569.2702      0.2461933    
     20600   607.87911     -2641.3449      0             -2568.8992      2.1161245    
     20800   595.97034     -2636.6051      0             -2565.5787      6.5741202    
     21000   588.68373     -2635.8831      0             -2565.7251     -6.5703189    
     21200   575.14248     -2636.9162      0             -2568.372       5.5536487    
     21400   601.62981     -2640.9858      0             -2569.2848      0.60923186   
     21600   612.57084     -2639.2293      0             -2566.2245      5.2982033    
     21800   597.79324     -2641.6433      0             -2570.3996     -5.7298746    
     22000   585.22189     -2642.5409      0             -2572.7954      7.7199202    
     22200   623.83645     -2637.9117      0             -2563.5642     -3.0950646    
     22400   588.94144     -2634.0939      0             -2563.9051      4.2829598    
     22600   580.51823     -2643.987       0             -2574.8021     -3.9339566    
     22800   582.04644     -2643.2293      0             -2573.8622      3.1775909    
     23000   615.05874     -2639.3923      0             -2566.0909     -1.6777208    
     23200   611.37454     -2645.2542      0             -2572.3919      5.1238822    
     23400   564.275       -2645.2597      0             -2578.0107      0.81243279   
     23600   613.88071     -2638.1275      0             -2564.9665      4.8470226    
     23800   595.41895     -2639.3588      0             -2568.3981     -3.3684282    
     24000   598.8595      -2648.9531      0             -2577.5823      0.25751175   
     24200   580.43589     -2642.3535      0             -2573.1784      0.5324109    
     24400   631.23743     -2639.6587      0             -2564.4292     -4.2491792    
     24600   588.82789     -2645.3547      0             -2575.1794      1.4862766    
     24800   590.03605     -2648.5137      0             -2578.1945      3.9633887    
     25000   626.24958     -2641.3231      0             -2566.688      -0.26656831   
     25200   598.64074     -2640.0106      0             -2568.6658      3.2678391    
     25400   571.876       -2646.1984      0             -2578.0435     -3.5072547    
     25600   600.3289      -2642.2926      0             -2570.7467      4.0893368    
     25800   612.28337     -2642.373       0             -2569.4024     -4.5435797    
     26000   588.97977     -2644.1041      0             -2573.9108      3.2201466    
     26200   598.09898     -2645.3276      0             -2574.0475     -2.7228043    
     26400   602.37654     -2643.0187      0             -2571.2288      3.267477     
     26600   606.55979     -2641.7938      0             -2569.5053      2.4563161    
     26800   597.24598     -2641.6312      0             -2570.4527      5.2756074    
     27000   591.70641     -2645.044       0             -2574.5257     -7.6075102    
     27200   613.03147     -2643.4804      0             -2570.4206      5.8756988    
     27400   589.27607     -2642.6359      0             -2572.4072     -6.7082346    
     27600   602.85712     -2647.2242      0             -2575.377       6.826589     
     27800   584.4403      -2644.4909      0             -2574.8386     -2.7508059    
     28000   615.80583     -2644.2147      0             -2570.8243     -0.095537578  
     28200   605.14123     -2646.277       0             -2574.1576     -3.5208588    
     28400   602.14837     -2647.4881      0             -2575.7254      3.5371944    
     28600   617.78796     -2644.0423      0             -2570.4157     -4.1692869    
     28800   611.65288     -2641.8595      0             -2568.964       1.9889526    
     29000   580.77363     -2647.177       0             -2577.9616     -3.6762839    
     29200   623.69965     -2649.9415      0             -2575.6103      4.2198218    
     29400   612.58256     -2643.6785      0             -2570.6723     -5.7237647    
     29600   609.79699     -2644.2234      0             -2571.5491      0.2701818    
     29800   569.56048     -2641.2765      0             -2573.3975      2.3826711    
     30000   593.64404     -2641.0651      0             -2570.3159      0.52834888   
     30200   611.11195     -2642.2075      0             -2569.3765     -2.9057462    
     30400   591.88415     -2643.9236      0             -2573.3841     -2.4635916    
     30600   604.37931     -2646.3131      0             -2574.2844     -5.2130742    
     30800   601.92412     -2643.3321      0             -2571.596       0.32428859   
     31000   589.27286     -2640.444       0             -2570.2157      4.8645519    
     31200   593.33054     -2643.4789      0             -2572.7671     -3.1909618    
     31400   605.68331     -2643.9236      0             -2571.7396      4.0814689    
     31600   600.67024     -2643.7706      0             -2572.184      -2.130289     
     31800   584.64493     -2641.2382      0             -2571.5615      2.6280706    
     32000   592.16235     -2642.168       0             -2571.5954      2.5948705    
     32200   617.27603     -2644.2556      0             -2570.69       -1.9598402    
     32400   637.96017     -2648.4736      0             -2572.4429      1.2152661    
     32600   595.52432     -2644.2816      0             -2573.3083     -3.4717593    
     32800   593.6702      -2641.9805      0             -2571.2282      4.0464387    
     33000   583.41679     -2640.8911      0             -2571.3608     -1.7600496    
     33200   587.13276     -2643.7975      0             -2573.8243      6.6135559    
     33400   583.72259     -2643.4553      0             -2573.8885     -2.0030208    
     33600   571.14559     -2642.4878      0             -2574.4199      6.3566153    
     33800   596.43728     -2646.7623      0             -2575.6802     -3.9061575    
     34000   619.23736     -2644.3528      0             -2570.5534      1.6385946    
     34200   579.29644     -2647.0327      0             -2577.9934     -3.9493674    
     34400   597.80068     -2648.15        0             -2576.9054      2.3018142    
     34600   599.96484     -2645.3493      0             -2573.8468     -6.9767666    
     34800   608.83099     -2648.1545      0             -2575.5953      6.476388     
     35000   596.44665     -2650.4622      0             -2579.379      -7.1479593    
     35200   635.57235     -2650.5217      0             -2574.7756      7.6930975    
     35400   592.21587     -2647.8519      0             -2577.2729     -10.206357    
     35600   609.90732     -2647.3442      0             -2574.6568      11.119985    
     35800   592.13578     -2648.5354      0             -2577.9659     -4.2125161    
     36000   588.96799     -2643.4985      0             -2573.3066      8.8492161    
     36200   623.73079     -2647.4789      0             -2573.144      -4.3214749    
     36400   603.82045     -2650.3182      0             -2578.3562      5.9425308    
     36600   593.03084     -2647.1654      0             -2576.4893     -4.1174366    
     36800   599.5878      -2645.4274      0             -2573.9698      2.6115378    
     37000   598.20613     -2650.6423      0             -2579.3494     -1.817276     
     37200   571.76657     -2648.7735      0             -2580.6316      3.884235     
     37400   603.78176     -2646.5039      0             -2574.5465     -0.61344219   
     37600   602.29434     -2648.8172      0             -2577.0371      0.57686407   
     37800   584.07619     -2651.6983      0             -2582.0894     -4.0932965    
     38000   615.58612     -2649.8346      0             -2576.4704      0.73721718   
     38200   585.4825      -2642.148       0             -2572.3715     -0.19592879   
     38400   577.20304     -2646.6998      0             -2577.91        4.1491155    
     38600   590.7623      -2652.8755      0             -2582.4697      0.087096065  
     38800   630.38005     -2650.5769      0             -2575.4496      2.3461866    
     39000   605.8761      -2645.6825      0             -2573.4755     -1.805643     
     39200   610.37185     -2651.7434      0             -2579.0006     -0.025761244  
     39400   602.31632     -2650.9445      0             -2579.1618      3.0415761    
     39600   606.09499     -2647.3161      0             -2575.083      -2.5071064    
     39800   618.6628      -2651.6258      0             -2577.8949     -2.8059969    
     40000   586.12191     -2651.9478      0             -2582.0951      0.021680127  
     40200   609.42845     -2647.1212      0             -2574.4908     -0.77672003   
