[1777823123.437582] [cn13:720425:0]          parser.c:1906 UCX  WARN  unused env variable: UCX_ROOT (set UCX_WARN_UNUSED_ENV_VARS=n to suppress this warning)
LAMMPS (23 Jun 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0 -0 -0) to (200 200 200)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  923 atoms
  read_data CPU = 0.005 seconds
Reading eam/alloy potential file CuAgAu_Zhou04.eam.alloy with DATE: 2018-03-30
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.4662927
  ghost atom cutoff = 8.4662927
  binsize = 4.2331463, bins = 48 48 48
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 4.708 | 4.708 | 4.709 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   600           -2375.1558      0             -2303.649      -109.19581    
       200   493.99423     -2549.4492      0             -2490.576      -2.7047869    
       400   330.18494     -2603.2827      0             -2563.932       10.019938    
       600   698.47906     -2561.1281      0             -2477.8849     -10.152873    
       800   735.26082     -2540.77        0             -2453.1432     -17.762078    
      1000   446.14805     -2596.541       0             -2543.37        16.175281    
      1200   530.7303      -2591.5054      0             -2528.2541     -5.4725931    
      1400   758.40826     -2555.0437      0             -2464.6582     -8.0314803    
      1600   551.31165     -2582.512       0             -2516.8079     -8.1412098    
      1800   525.81108     -2598.0134      0             -2535.3483      9.7018869    
      2000   670.25459     -2577.3116      0             -2497.4321     -4.8301272    
      2200   633.35817     -2576.0634      0             -2500.5811     -3.6487944    
      2400   524.76812     -2594.3967      0             -2531.856       9.3109661    
      2600   568.48206     -2585.0261      0             -2517.2756     -4.418436     
      2800   669.78008     -2581.5966      0             -2501.7737      5.9782621    
      3000   556.53508     -2595.6222      0             -2529.2955     -5.3937988    
      3200   553.94418     -2594.7802      0             -2528.7623      11.288077    
      3400   640.26105     -2583.4591      0             -2507.1542     -9.7158141    
      3600   618.12532     -2593.2415      0             -2519.5746      1.966936     
      3800   550.36546     -2600.6481      0             -2535.0567      0.35922188   
      4000   633.49012     -2591.2817      0             -2515.7837      2.1057291    
      4200   608.15        -2587.4191      0             -2514.9411     -8.8391241    
      4400   560.48685     -2596.0467      0             -2529.249       13.621335    
      4600   593.39924     -2595.2878      0             -2524.5678     -8.6669254    
      4800   640.92534     -2591.0525      0             -2514.6684      0.81545359   
      5000   577.31683     -2595.9153      0             -2527.1119     -6.8792805    
      5200   615.78879     -2600.5271      0             -2527.1387      3.6970728    
      5400   626.98327     -2596.5609      0             -2521.8384     -4.5556639    
      5600   609.04918     -2598.5275      0             -2525.9424      1.967619     
      5800   596.43095     -2599.3         0             -2528.2186      2.05257      
      6000   607.40273     -2595.5037      0             -2523.1148     -0.62154244   
      6200   599.02989     -2592.5381      0             -2521.147       8.3553203    
      6400   571.13697     -2597.9178      0             -2529.8509     -5.8320125    
      6600   577.88782     -2596.2795      0             -2527.408       13.371036    
      6800   585.93176     -2592.1175      0             -2522.2874     -11.245214    
      7000   598.30613     -2597.0769      0             -2525.7721      5.4649168    
      7200   582.28416     -2600.3894      0             -2530.9941     -7.6725048    
      7400   627.5527      -2600.8893      0             -2526.0989      5.171308     
      7600   579.00923     -2599.7905      0             -2530.7854     -10.37913     
      7800   598.48023     -2598.9312      0             -2527.6056      4.5515663    
      8000   593.30148     -2597.9802      0             -2527.2718     -5.9962198    
      8200   605.42615     -2601.1474      0             -2528.994       3.8478372    
      8400   605.28669     -2599.5764      0             -2527.4397     -2.7410272    
      8600   622.24726     -2597.1589      0             -2523.0008      3.2891228    
      8800   610.56684     -2603.411       0             -2530.645      -0.82433455   
      9000   579.78298     -2604.4442      0             -2535.3469     -4.3527278    
