LAMMPS (22 Jul 2025 - Update 3)
Reading data file ...
  orthogonal box = (0 0 0) to (40 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  read_data CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.9059763
  ghost atom cutoff = 7.9059763
  binsize = 3.9529882, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cubic, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0001
Per MPI rank memory allocation (min/avg/max) = 3.08 | 3.08 | 3.08 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   350           -0.77447784     0              21.800806      90.920383    
       200   350.95791     -0.83626404     0              21.800806      96.329446    
       400   353.74219     -1.015852       0              21.800806      106.50915    
       600   357.84138     -1.2802535      0              21.800806      111.59324    
       800   362.80554     -1.6004455      0              21.800806      113.11694    
      1000   368.38237     -1.9601557      0              21.800806      114.2149     
      1200   374.41065     -2.348985       0              21.800806      116.06623    
      1400   380.75609     -2.7582709      0              21.800806      119.62727    
      1600   387.26892     -3.1783535      0              21.800806      125.62884    
      1800   393.64553     -3.5896504      0              21.800806      135.91752    
      2000   399.20235     -3.9480698      0              21.800806      155.27082    
      2200   402.71552     -4.1746722      0              21.800806      191.67383    
      2400   402.70382     -4.1739179      0              21.800805      254.18962    
      2600   397.76036     -3.8550609      0              21.800805      350.04848    
      2800   389.18723     -3.3020863      0              21.800806      468.293      
      3000   384.25087     -2.9836869      0              21.800806      561.2359     
      3200   385.43421     -3.0600142      0              21.800805      611.53571    
      3400   387.43616     -3.1891415      0              21.800805      650.43919    
      3600   388.32258     -3.2463161      0              21.800805      690.72601    
      3800   388.87719     -3.2820892      0              21.800805      728.34888    
      4000   388.27943     -3.2435332      0              21.800805      767.96115    
      4200   386.81612     -3.149148       0              21.800806      806.58359    
      4400   387.27583     -3.1787998      0              21.800806      826.04915    
      4600   391.80024     -3.4706278      0              21.800806      813.07159    
      4800   398.99446     -3.934661       0              21.800806      777.32454    
      5000   406.07287     -4.3912247      0              21.800805      737.68244    
      5200   411.10617     -4.7158764      0              21.800805      707.61251    
      5400   413.22173     -4.8523318      0              21.800805      694.03998    
      5600   412.54766     -4.8088536      0              21.800806      696.944      
      5800   411.81469     -4.7615758      0              21.800806      700.016      
      6000   414.35715     -4.9255675      0              21.800805      683.34861    
      6200   417.08613     -5.1015886      0              21.800805      664.75326    
      6400   419.44911     -5.2540024      0              21.800806      647.09599    
      6600   422.33432     -5.4401009      0              21.800806      626.37068    
      6800   424.84699     -5.6021704      0              21.800806      607.77741    
      7000   427.4729      -5.7715439      0              21.800806      589.63515    
      7200   428.2556      -5.8220286      0              21.800805      584.26714    
      7400   426.32128     -5.6972635      0              21.800805      597.58559    
      7600   422.09784     -5.4248481      0              21.800806      626.35421    
      7800   417.13897     -5.1049967      0              21.800806      659.96498    
      8000   413.82211     -4.8910566      0              21.800806      682.50901    
      8200   413.72451     -4.8847614      0              21.800806      683.16076    
      8400   415.55756     -5.0029948      0              21.800806      669.95692    
      8600   417.44243     -5.1245705      0              21.800806      655.85175    
      8800   418.95543     -5.2221601      0              21.800806      644.16893    
      9000   420.51372     -5.3226707      0              21.800806      632.59687    
      9200   421.98388     -5.417497       0              21.800806      621.51596    
      9400   423.46978     -5.513339       0              21.800806      610.60557    
      9600   424.48346     -5.5787226      0              21.800806      603.1049     
      9800   424.10794     -5.5545014      0              21.800806      604.5477     
     10000   422.97505     -5.4814286      0              21.800806      610.36947    
     10200   423.16201     -5.4934877      0              21.800806      608.02496    
     10400   423.95646     -5.5447307      0              21.800806      602.21709    
     10600   424.90981     -5.6062221      0              21.800806      595.98606    
     10800   425.57856     -5.6493573      0              21.800805      593.35861    
     11000   424.28268     -5.5657718      0              21.800805      604.45052    
     11200   421.56219     -5.3902981      0              21.800806      625.02948    
     11400   418.73475     -5.2079259      0              21.800806      645.94237    
     11600   417.87556     -5.1525068      0              21.800806      654.02353    
     11800   421.34169     -5.3760756      0              21.800806      634.95845    
     12000   425.89886     -5.6700171      0              21.800805      608.63462    
     12200   427.14555     -5.7504295      0              21.800805      602.72561    
     12400   426.01356     -5.6774149      0              21.800806      613.19867    
     12600   424.8912      -5.6050219      0              21.800806      625.46565    
     12800   423.09769     -5.4893397      0              21.800805      643.25256    
     13000   418.68515     -5.2047273      0              21.800805      677.11634    
     13200   413.06749     -4.842383       0              21.800806      716.79035    
     13400   411.48265     -4.7401593      0              21.800806      729.6516     
     13600   413.94522     -4.8989971      0              21.800806      713.46914    
     13800   418.44209     -5.1890492      0              21.800806      681.53386    
     14000   422.56822     -5.4551882      0              21.800805      650.44309    
     14200   423.87189     -5.539276       0              21.800805      636.59724    
     14400   422.75118     -5.4669887      0              21.800806      637.67717    
     14600   421.72452     -5.4007684      0              21.800806      638.55743    
     14800   422.01186     -5.4193023      0              21.800806      631.37294    
     15000   422.68477     -5.4627056      0              21.800806      621.44656    
     15200   423.26755     -5.5002949      0              21.800806      612.58779    
     15400   424.15033     -5.557235       0              21.800806      602.8181     
     15600   424.61054     -5.586919       0              21.800806      596.46101    
     15800   424.28595     -5.5659827      0              21.800806      595.21846    
     16000   423.92655     -5.5428009      0              21.800806      595.09111    
     16200   424.94946     -5.6087797      0              21.800806      587.15299    
     16400   427.77732     -5.7911791      0              21.800806      569.49919    
     16600   430.30462     -5.954192       0              21.800805      555.58283    
     16800   429.74904     -5.9183567      0              21.800805      562.56829    
     17000   426.02479     -5.6781392      0              21.800806      591.00881    
     17200   423.26698     -5.5002578      0              21.800806      615.04161    
     17400   422.9678      -5.4809617      0              21.800805      625.07414    
     17600   420.58808     -5.3274671      0              21.800806      647.48417    
     17800   418.71893     -5.2069051      0              21.800806      666.35325    
     18000   418.93268     -5.2206924      0              21.800806      671.64681    
     18200   419.6883      -5.2694307      0              21.800806      672.45213    
     18400   420.26175     -5.3064183      0              21.800806      673.37563    
     18600   421.43137     -5.3818601      0              21.800806      670.04899    
     18800   421.83582     -5.4079477      0              21.800805      671.58728    
     19000   418.8286      -5.2139799      0              21.800805      693.658      
     19200   414.28601     -4.9209782      0              21.800806      724.00131    
     19400   413.58087     -4.8754965      0              21.800806      730.07671    
     19600   416.73281     -5.0787996      0              21.800805      711.7078     
     19800   417.74906     -5.1443483      0              21.800806      704.94411    
     20000   419.45452     -5.2543517      0              21.800806      693.94171    
     20200   421.97784     -5.4171081      0              21.800805      677.76964    
     20400   423.16889     -5.4939319      0              21.800806      669.14362    
     20600   425.30875     -5.631954       0              21.800806      655.12277    
     20800   428.77873     -5.8557708      0              21.800805      633.97972    
     21000   430.52109     -5.9681547      0              21.800805      624.71534    
     21200   429.33948     -5.8919401      0              21.800805      635.09201    
     21400   426.18877     -5.6887163      0              21.800806      658.69552    
     21600   423.70476     -5.5284955      0              21.800806      678.62021    
     21800   422.34147     -5.4405619      0              21.800806      690.81282    
     22000   422.02318     -5.420032       0              21.800806      695.17129    
     22200   423.97279     -5.5457835      0              21.800806      683.28078    
     22400   427.10451     -5.7477826      0              21.800806      661.73412    
     22600   429.50531     -5.9026356      0              21.800806      643.91359    
     22800   430.76876     -5.9841292      0              21.800806      632.97371    
     23000   432.13459     -6.0722262      0              21.800806      622.39561    
     23200   433.52227     -6.1617332      0              21.800805      613.31934    
     23400   431.88075     -6.055854       0              21.800805      623.80294    
     23600   426.85123     -5.7314455      0              21.800806      655.89339    
     23800   423.03471     -5.4852762      0              21.800806      680.9303     
     24000   423.44519     -5.5117527      0              21.800806      679.80685    
     24200   425.50212     -5.6444272      0              21.800805      667.6062     
     24400   425.40604     -5.6382297      0              21.800806      667.23516    
     24600   424.1461      -5.5569618      0              21.800806      673.28225    
     24800   424.49096     -5.5792061      0              21.800806      669.10657    
     25000   425.21952     -5.6261989      0              21.800805      661.49995    
     25200   424.56012     -5.5836669      0              21.800806      661.47217    
     25400   424.09323     -5.5535522      0              21.800806      659.16653    
     25600   425.85189     -5.6669874      0              21.800806      642.7545     
     25800   427.99929     -5.8054963      0              21.800806      623.0106     
     26000   429.60713     -5.9092033      0              21.800806      605.98739    
     26200   430.8035      -5.9863697      0              21.800806      591.91225    
     26400   431.45154     -6.028169       0              21.800806      582.03283    
     26600   431.4661      -6.029108       0              21.800806      577.08338    
     26800   430.65036     -5.9764925      0              21.800806      577.76449    
     27000   428.65753     -5.8479532      0              21.800806      586.10328    
     27200   427.4234      -5.7683504      0              21.800806      591.30771    
     27400   428.2321      -5.8205133      0              21.800805      585.90757    
     27600   426.93891     -5.7371012      0              21.800805      594.19914    
     27800   423.68254     -5.5270622      0              21.800806      614.85063    
     28000   422.31333     -5.4387469      0              21.800806      624.16006    
     28200   423.62983     -5.5236629      0              21.800805      617.33175    
     28400   423.48813     -5.5145226      0              21.800806      618.80137    
     28600   422.60851     -5.457786       0              21.800806      624.12551    
     28800   422.41279     -5.4451623      0              21.800806      623.95121    
     29000   423.37567     -5.5072691      0              21.800806      615.43723    
     29200   424.76144     -5.5966524      0              21.800806      603.85339    
     29400   425.54646     -5.6472866      0              21.800806      596.03633    
     29600   426.01137     -5.6772737      0              21.800806      590.57045    
     29800   427.29716     -5.7602086      0              21.800806      580.93368    
     30000   428.18732     -5.8176245      0              21.800806      574.46856    
     30200   427.86551     -5.7968673      0              21.800806      577.06483    
     30400   426.31225     -5.6966809      0              21.800805      588.33795    
     30600   422.2131      -5.4322825      0              21.800805      615.80154    
     30800   417.45657     -5.1254815      0              21.800806      647.52862    
     31000   416.81245     -5.0839363      0              21.800806      654.36683    
     31200   416.90113     -5.0896556      0              21.800806      655.83762    
     31400   417.15712     -5.1061672      0              21.800806      654.99783    
     31600   417.40997     -5.1224764      0              21.800806      653.0417     
     31800   418.20759     -5.1739233      0              21.800806      647.62372    
     32000   419.52874     -5.2591391      0              21.800806      638.65179    
     32200   419.57878     -5.2623669      0              21.800805      636.84417    
     32400   418.19555     -5.1731468      0              21.800806      642.97894    
     32600   420.43037     -5.317295       0              21.800806      626.89376    
     32800   424.10656     -5.5544124      0              21.800805      602.05167    
     33000   425.82724     -5.6653975      0              21.800806      589.59375    
     33200   426.11499     -5.6839576      0              21.800806      587.09313    
     33400   425.26331     -5.6290236      0              21.800806      593.44437    
     33600   422.86043     -5.474036       0              21.800806      610.53248    
     33800   419.87351     -5.2813767      0              21.800806      631.35797    
     34000   418.90893     -5.2191607      0              21.800806      639.06503    
     34200   420.5468      -5.3248047      0              21.800805      629.87329    
     34400   421.69291     -5.3987294      0              21.800806      621.90605    
     34600   422.48279     -5.4496774      0              21.800806      616.29271    
     34800   423.74503     -5.5310928      0              21.800806      608.98519    
     35000   424.34704     -5.5699233      0              21.800806      606.46976    
     35200   424.23408     -5.5626371      0              21.800806      608.94042    
     35400   423.82893     -5.5365047      0              21.800806      613.48655    
     35600   421.82821     -5.4074565      0              21.800806      627.57534    
     35800   419.86757     -5.280994       0              21.800806      641.55424    
     36000   417.54181     -5.1309808      0              21.800805      657.27739    
     36200   414.04416     -4.9053791      0              21.800806      678.98873    
     36400   414.06053     -4.9064343      0              21.800806      677.7562     
     36600   419.08059     -5.230233       0              21.800805      644.85726    
     36800   422.99401     -5.4826521      0              21.800805      616.85802    
     37000   424.82974     -5.6010575      0              21.800806      601.79824    
     37200   426.73862     -5.7241819      0              21.800806      587.23314    
     37400   428.4284      -5.8331741      0              21.800806      574.33449    
     37600   428.79089     -5.856555       0              21.800806      570.27914    
     37800   428.10827     -5.8125256      0              21.800806      572.9322     
     38000   427.16197     -5.7514883      0              21.800806      577.41647    
     38200   426.09844     -5.6828899      0              21.800806      582.99122    
     38400   426.77207     -5.7263394      0              21.800806      578.16068    
     38600   428.01793     -5.8066987      0              21.800806      570.58023    
     38800   428.23653     -5.8207985      0              21.800806      569.90193    
     39000   428.67895     -5.849335       0              21.800806      569.27368    
     39200   429.24345     -5.8857457      0              21.800806      569.10949    
     39400   428.71743     -5.8518165      0              21.800806      576.27978    
     39600   426.87063     -5.7326968      0              21.800806      592.53474    
     39800   423.57321     -5.5200103      0              21.800806      618.53001    
     40000   420.13394     -5.2981744      0              21.800806      644.84192    
     40200   419.6392      -5.2662632      0              21.800806      652.25593    
     40400   420.43518     -5.3176053      0              21.800805      650.71484    
     40600   419.60372     -5.2639754      0              21.800805      658.13534    
     40800   417.10695     -5.1029315      0              21.800806      674.12907    
     41000   417.23572     -5.111237       0              21.800806      673.21972    
     41200   418.81984     -5.2134147      0              21.800805      662.18431    
     41400   419.16639     -5.2357666      0              21.800806      656.96467    
     41600   420.54991     -5.3250054      0              21.800806      644.45228    
     41800   421.99956     -5.4185086      0              21.800806      631.04703    
     42000   422.35217     -5.4412523      0              21.800806      624.61292    
     42200   423.46406     -5.51297        0              21.800806      613.53751    
     42400   426.19787     -5.6893029      0              21.800806      593.07225    
     42600   428.17772     -5.817005       0              21.800806      578.43156    
     42800   428.14849     -5.8151199      0              21.800806      577.25445    
     43000   426.52301     -5.7102751      0              21.800806      587.75926    
     43200   424.06419     -5.5516789      0              21.800806      603.99628    
     43400   422.53261     -5.4528909      0              21.800806      614.72894    
     43600   422.62134     -5.4586138      0              21.800806      614.8732     
     43800   423.5643      -5.5194357      0              21.800806      608.85939    
     44000   425.82668     -5.665361       0              21.800806      594.94305    
     44200   427.87819     -5.7976855      0              21.800806      583.23632    
     44400   428.53609     -5.8401201      0              21.800806      580.8709     
     44600   427.96657     -5.8033857      0              21.800806      586.69991    
     44800   425.91713     -5.6711953      0              21.800806      601.91066    
     45000   424.12336     -5.5554955      0              21.800806      615.73973    
     45200   423.6977      -5.5280401      0              21.800806      620.99979    
     45400   424.38894     -5.5726255      0              21.800806      619.88249    
     45600   424.03522     -5.5498112      0              21.800805      625.38864    
     45800   419.89754     -5.282927       0              21.800805      653.19159    
     46000   414.38897     -4.9276195      0              21.800806      687.86807    
     46200   413.72682     -4.88491        0              21.800806      691.26993    
     46400   416.86601     -5.0873911      0              21.800805      669.06675    
     46600   420.18061     -5.3011853      0              21.800806      643.59329    
     46800   423.17891     -5.4945782      0              21.800806      619.04887    
     47000   424.82285     -5.6006135      0              21.800806      603.00426    
     47200   425.47508     -5.6426822      0              21.800806      594.46121    
     47400   426.437       -5.7047271      0              21.800806      585.42036    
     47600   427.07856     -5.7461082      0              21.800806      579.41064    
     47800   426.92849     -5.7364287      0              21.800806      579.34444    
     48000   425.3757      -5.6362726      0              21.800806      588.16112    
     48200   423.59425     -5.5213674      0              21.800806      598.45604    
     48400   423.05784     -5.4867687      0              21.800806      601.22344    
     48600   422.69781     -5.4635461      0              21.800806      602.11152    
     48800   425.31309     -5.6322337      0              21.800806      585.33662    
     49000   429.3333      -5.8915413      0              21.800805      560.6538     
     49200   431.35075     -6.0216684      0              21.800806      549.6874     
     49400   430.94202     -5.995305       0              21.800806      555.60474    
     49600   428.23289     -5.8205639      0              21.800806      577.97097    
     49800   423.92309     -5.5425784      0              21.800806      611.33899    
     50000   419.18866     -5.2372031      0              21.800806      645.93203    
     50200   416.50788     -5.064291       0              21.800806      666.17547    
     50400   415.41071     -4.9935226      0              21.800805      673.8136     
     50600   414.49202     -4.9342658      0              21.800806      676.25938    
     50800   420.38186     -5.3141659      0              21.800805      635.281      
     51000   427.09836     -5.747386       0              21.800805      587.6062     
     51200   430.98234     -5.9979057      0              21.800806      557.04627    
     51400   432.95888     -6.1253941      0              21.800806      540.18696    
     51600   432.96382     -6.1257126      0              21.800806      537.75625    
     51800   431.49968     -6.0312742      0              21.800806      546.33014    
     52000   429.57431     -5.9070859      0              21.800806      558.91088    
     52200   428.56835     -5.8422007      0              21.800806      566.31703    
     52400   427.94749     -5.8021554      0              21.800806      572.03481    
     52600   427.13472     -5.7497307      0              21.800806      579.92056    
     52800   425.96966     -5.6745839      0              21.800805      589.92304    
     53000   423.28413     -5.5013645      0              21.800806      608.41303    
     53200   422.30735     -5.4383612      0              21.800806      616.46255    
     53400   425.31851     -5.6325838      0              21.800805      600.40948    
     53600   426.76017     -5.725572       0              21.800805      593.29028    
     53800   426.13213     -5.6850626      0              21.800806      599.18713    
     54000   425.82298     -5.6651219      0              21.800806      603.25883    
     54200   427.07854     -5.7461073      0              21.800806      597.62161    
     54400   428.48358     -5.8367334      0              21.800806      591.24559    
     54600   428.83065     -5.8591197      0              21.800806      591.45939    
     54800   428.73678     -5.8530651      0              21.800806      595.24103    
     55000   428.75746     -5.8543988      0              21.800806      598.67271    
     55200   428.42967     -5.8332559      0              21.800806      603.92438    
     55400   428.01348     -5.8064115      0              21.800806      611.39211    
     55600   426.85623     -5.7317685      0              21.800805      624.13005    
     55800   423.59351     -5.5213198      0              21.800806      649.47092    
     56000   420.92562     -5.3492384      0              21.800806      669.7723     
     56200   422.79918     -5.4700847      0              21.800806      660.87764    
     56400   425.69693     -5.6569923      0              21.800805      643.94345    
     56600   426.99594     -5.7407796      0              21.800806      636.23121    
     56800   426.78839     -5.727392       0              21.800806      638.26834    
     57000   425.85506     -5.6671912      0              21.800806      645.2092     
     57200   426.13113     -5.6849984      0              21.800806      644.90644    
     57400   426.73681     -5.7240651      0              21.800806      642.96887    
     57600   426.11891     -5.6842103      0              21.800806      648.63712    
     57800   424.0823      -5.5528476      0              21.800805      662.62491    
     58000   420.80416     -5.3414045      0              21.800806      682.85879    
     58200   419.22648     -5.2396421      0              21.800806      690.68827    
     58400   421.87919     -5.4107445      0              21.800806      670.14226    
     58600   426.43998     -5.7049195      0              21.800806      635.30177    
     58800   430.3375      -5.9563128      0              21.800806      603.81047    
     59000   432.63022     -6.1041953      0              21.800805      583.53156    
     59200   432.01509     -6.064519       0              21.800806      582.67996    
     59400   429.57268     -5.906981       0              21.800806      594.58495    
     59600   427.18976     -5.753281       0              21.800806      606.33745    
     59800   426.24619     -5.6924195      0              21.800806      607.87853    
     60000   428.16277     -5.8160408      0              21.800806      590.33892    
     60200   431.7418      -6.0468914      0              21.800806      562.50814    
     60400   434.39824     -6.2182335      0              21.800806      540.69436    
     60600   434.78226     -6.2430031      0              21.800806      534.34786    
     60800   433.14823     -6.1376069      0              21.800806      542.42011    
     61000   430.55138     -5.9701082      0              21.800806      558.33327    
     61200   427.3368      -5.7627651      0              21.800806      578.93627    
     61400   423.93517     -5.5433571      0              21.800806      599.87022    
     61600   421.2267      -5.3686588      0              21.800806      615.08514    
     61800   420.96375     -5.3516978      0              21.800806      614.00598    
     62000   424.36868     -5.571319       0              21.800806      589.36575    
     62200   428.8926      -5.8631161      0              21.800805      558.36966    
     62400   429.45747     -5.8995503      0              21.800805      553.33872    
     62600   426.59855     -5.7151475      0              21.800806      571.10523    
     62800   424.94799     -5.6086844      0              21.800806      583.17542    
     63000   425.59592     -5.650477       0              21.800806      581.40811    
     63200   426.53827     -5.711259       0              21.800806      577.58902    
     63400   427.61948     -5.7809977      0              21.800806      572.73266    
     63600   429.37752     -5.894393       0              21.800806      565.089      
     63800   429.67267     -5.9134308      0              21.800805      568.58952    
     64000   425.16619     -5.6227595      0              21.800805      603.59429    
     64200   418.18857     -5.1726964      0              21.800806      654.60706    
     64400   415.28168     -4.9851998      0              21.800806      680.58531    
     64600   416.18173     -5.0432544      0              21.800806      681.17011    
     64800   418.1942      -5.1730601      0              21.800805      672.72688    
     65000   419.15003     -5.2347119      0              21.800805      668.29122    
     65200   418.98968     -5.2243692      0              21.800806      668.82166    
     65400   418.91592     -5.2196114      0              21.800806      667.83474    
     65600   419.9705      -5.2876325      0              21.800806      659.38142    
     65800   421.97763     -5.4170946      0              21.800805      644.84829    
     66000   422.24232     -5.4341672      0              21.800805      640.02072    
     66200   419.74389     -5.2730163      0              21.800806      651.33044    
     66400   418.03924     -5.1630646      0              21.800806      656.51687    
     66600   422.05464     -5.4220616      0              21.800806      626.28825    
     66800   428.31191     -5.8256608      0              21.800806      582.3799     
     67000   432.91008     -6.1222467      0              21.800805      549.66803    
